mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,,,8,100,21084.823333,47427.478248
false,12,,,8,100,269667.066667,3708.276329
false,16,,,8,100,370279.740000,2700.660857
false,20,,,8,100,393761.500000,2539.608367
false,24,,,8,100,407401.206667,2454.582813
false,28,,,8,100,400249.006667,2498.444677
false,32,,,8,100,391702.713333,2552.956530
false,36,,,8,100,399940.076667,2500.374577
false,4,,,8,100,82708.613333,12090.639169
false,40,,,8,100,374782.256667,2668.215963
false,44,,,8,100,373373.296667,2678.284733
false,48,,,8,100,361057.023333,2769.645611
false,52,,,8,100,362489.836667,2758.698035
false,56,,,8,100,358966.400000,2785.776050
false,60,,,8,100,344818.360000,2900.077594
false,64,,,8,100,335998.576667,2976.203084
false,8,,,8,100,169440.666667,5901.770925
