Lock Address,Wait Time (us),Hold Time (us),Enter Count,Count
31e63fb14178,58697470.25,94095776.12,10344293,145322
31e63f865c88,48209006.96,79051609.4,10343631,96237
31e63fb11b80,46648416.89,66432918.91,10344302,93207
31e63f8d2898,102687120.39,105589564.62,20688322,48707
31e63fceb730,130801136.67,132021589.43,20687407,36943
31e63fc25948,37515835.33,57157065.03,10343746,18207
31e63f600708,37352652.97,64345361.65,10343596,7802
31e63faba550,982400.51,216719.17,7835,719,Global lock(unlock)
31e63faba598,745405.5,183841.8,7314,542,Global lock(unlock)
31e6249ca6d8,32915.37,43038.33,5699,491,WiredTigerIdIndex::_insert
31e6357f2a68,53119.94,66104.7,8948,475,WiredTigerIdIndex::_insert
31e61cdcef28,143430.69,271733.17,38655,444,WiredTigerRecordStore::_insertRecords
31e62b18f8a8,165550.09,282714.35,39851,370,WiredTigerRecordStore::_insertRecords
31e63fabae08,370800.0,192191.44,6837,352,DB lock(unlock)
31e62b18fc38,161794.79,281452.15,39648,352,WiredTigerRecordStore::_insertRecords
31e6249cb8a8,143432.02,272536.82,38578,318,WiredTigerRecordStore::_insertRecords
31e6357f3b08,153639.27,273395.26,39348,307,WiredTigerRecordStore::_insertRecords
31e615346b98,163368.18,281101.24,39786,288,WiredTigerRecordStore::_insertRecords
31e63fabae50,359624.51,168453.63,6687,281,WiredTigerRecordStore::_insertRecords
31e61cdcf9d8,330285.01,562948.24,79905,260,WiredTigerRecordStore::_insertRecords
31e6249cb648,32923.36,67670.39,8908,259
31e6249ca218,7665.08,17433.91,2309,250
31e61cdcecc8,204894.71,284670.83,39812,247
31e62b18fb08,154492.3,273823.14,39459,246
31e61cdcfb08,18823.9,42609.67,5797,236
31e6357f2b98,143109.8,273180.68,38591,234
31e63f9c6478,277937.97,277699.45,39500,232
31e62b18e348,64956.51,86812.9,11912,230
31e63fabb630,186631.49,176194.49,6522,212
31e61cdcfc38,165086.4,282220.5,39725,199
31e6249ca5a8,153741.47,273984.47,39530,197
31e6153465a8,32363.07,68606.1,8901,189
31e63faba5e0,167825.84,189568.06,6581,174
31e6249ca0e8,37648.9,67556.68,9791,166
31e62b18f2b8,3401.46,7128.37,959,162
31e6357f3d68,143860.37,270687.29,38735,160
31e6357f3648,136178.76,260803.4,37458,150
31e6249ca478,159094.6,280799.56,39610,130
31e62b18fd68,154402.63,278155.72,39421,123
31e6357f3778,206428.86,273599.09,38768,122
31e615346808,153597.72,277991.66,38934,105, WiredTigerRecordStore::_insertRecords
31e61cdcfe98,92178.65,152692.84,20205,101, WiredTigerIdIndex::_insert
31e63978fb28,56697205.81,112882309.55,16146846,90
31e62b18f778,20745.68,43974.61,5985,88
31e639790d28,64648503.44,132152583.42,19656812,84
31e6394f9628,64921772.32,132103805.93,19509176,84,isCollectionLockedForMode
31e639791628,62619541.27,128647163.17,19120416,80,WiredTigerIndex::insert
31e6395cdb28,65002276.13,130928460.9,19133312,79,WiredTigerIndex::insert
31e6357f2218,29146.45,66036.19,8959,78,WiredTigerIdIndex::_insert
31e63978f228,64848855.87,132362679.13,19583020,77,mongo::WiredTigerIndex::insert
31e63faba8b0,91362.65,165353.19,6411,76, isCollectionLockedForMode
31e63fabb828,87624.8,190900.87,6425,74, DBlock
31e6395cc928,66028328.47,132593334.11,19053235,68,mongo::Locker::isCollectionLockedForMode
31e6395cd228,64588976.62,132416182.46,19734248,67
31e639790428,50989986.34,102572708.85,15077438,65
31e6395cc028,46823841.67,95780244.9,14314580,61
31e6357f3e98,284496.68,273656.84,38467,58
31e6394f6028,65110764.3,132672601.86,19508865,58
31e6394f6928,65085802.19,132342470.09,19395035,58
