Lock Address,Count
300a7fb14178,67892
300a7f8fb798,37511
300a7fa8f2b0,29326
300a7fb11b80,25250
5faf6a8,22531
300a7fc25948,19474
6e36190,13553
300a7f8640c8,7469
579bf90,6664
300a7f608708,5754
6705f90,4692
5b983c0bf9e8,3304
54e8680,2047
300a7f8eee88,2019
5b983c0bc6c0,1975
300a7f87fd08,1805
757b0c0021a0,1745
300a7faf8550,1716
70c20bb66210,1611
5b983c0be7e8,1574
7365f90,1526
5920303e93d0,1515
5b983c0be9e8,1512
300a7faf8598,1406
793cc639f210,993
7197190,867
6e35e48,758
761f7d9ac964,708
300a57c2ea68,693
60d4190,649
761f7d784944,612
300a7fc3c768,577
300a7fc3c0a8,577
300a7fc3c5b8,572
300a7fc3c7b0,570
300a7fc3c0f0,568
300a7fc3c018,567
300a7fc3c180,565
300a7fc3c1c8,563
300a7fc3c720,563
300a7fc3c570,553
300a7fc3c060,551
300a7fc3c258,551
300a7fc3c4e0,550
300a7fc3c648,548
300a7fc3c600,548
300a7fc3c330,545
300a7f879818,544
300a7fc3c138,543
300a7fc3c528,540
300a7fc3c840,533
300a7fc3bf88,531
300a7fc3c2e8,528
300a7fc3c690,519
300a7fc3c210,517
300a7fc3bfd0,516
300a7fc3c3c0,512
300a7fc3c450,511
300a7fc3c378,510
300a7fc3c6d8,509
300a7fc3c498,504
595f743e5878,504
6b94d70,502
300a7fc3c2a0,499
583ffeff04e8,494
300a7fc3c7f8,494
300a7fc3c408,487
583ffefe0090,426
595f743d5420,417
7b0aa85a1100,412
730a015a1100,392
79375e56d020,370
6de0c60,321
6556898,320
789f438,319
662c050,301
63d5408,293
54e87a8,269
6205d78,267
300a9deb0938,267
6e363d8,261
300a7f8eea08,253
64b5058,242
300a598ebc38,232
6705c48,226
300a7faf9870,221
607ec60,218
300a598eb648,215
77dbed8,208
300a7faf9510,207
780d038,185
7812fc8,182
6d002c8,180
300a776ecdf8,175
747f557a9210,172
300a7979cd28,164
64da118,161
300a776eccc8,155
60d3e48,155
300a7faf9ee8,154
61af7e8,151
300a598ebb08,151
77daa88,147
300a7faf87d8,147
300a78be4428,147
300a781fb228,144
300a78be2928,141
300a781fcd28,141
6150348,140
300a79594428,139
300a785fcd28,138
300a79594d28,138
300a7faf9828,137
6aae6f8,136
300a787ad228,135
300a7fafa440,134
300a7865e928,133
300a785fbb28,133
300a9deb0cc8,132
300a7979bb28,132
300a7fafa050,132
300a7faf9048,132
300a781fbb28,131
300a4932a808,131
300a78be3b28,131
300a79592928,130
300a7979b228,130
300a785fb228,129
300a78be4d28,128
300a781fc428,127
754144acd210,127
300a7fafa878,125
300a7979c428,125
300a785fa028,124
64d9ac8,123
300a57c2edf8,121
300a781fa928,121
300a49090a68,121
300a785fa928,121
300a781fa028,121
300a78be2028,119
300a79593228,117
7fc43f8,113
7196e48,112
300a79593b28,112
300a79592028,112
300a785fc428,111
70c20536a8f8,111
300a78be3228,109
300a5fe4d9d8,107
595f740a1e14,107
300a5fe4d8a8,100
70c20a3fc8f8,99
300a7faf9480,98
c000100148,96
62555e8,94
300a9deb0a68,93
70c2047448f8,91
67061d8,91
5840014654a8,90
5746aa0,89
300a78be5628,88
300a785fd628,87
300a7faf9a68,86
7310aa0,85
595f75f736a8,85
300a7faf8af0,84
300a7faf8748,83
60d92a8,82
6563cd8,79
579bc48,78
766acf8,77
736b0f8,76
64b3018,76
300a9deb0df8,75
7b0a940052f0,74
66b0aa0,74
7fffc163bee0,74
73661d8,73
7309f00013d0,72
7d621e61ac80,72
7ffc76742900,67
300a7bfa0110,62
300a77e1d228,61
300a7fafa518,61
61561c8,61
7141c60,60
1a70a74,60
76a81de1ac80,56
793cbf57b8f8,56
6d02eb8,55
74eae921ac80,53
5e1e258,52
7365c48,52
74aa568,51
7ffd7d8ec8e0,51
631fec8,50
6094ab0,49
a44be8,49
7ffc76742980,47
300a7faf85e0,46
300a7faf8700,42
c0000ae948,42
793cbf3788f8,41
64b7268,41
6775268,41
79375c349954,40
79e72341ac80,39
300a7f91f310,37
300a7f91f170,37
65d6b10,37
300a7f982880,37
c0000ae548,36
300a78342028,36
6493e38,36
300a7f982a20,36
300a7f9838c0,36
729d53e1ac80,35
300a7f983720,35
300a7f9ca470,35
300a7faf97e0,35
300a7f9ca540,35
300a7fafa488,34
300a7f91fcd0,34
300a7f91fb30,34
300a7faf9a20,33
300a7f91f3e0,33
300a7f91efd0,33
662b7c0,33
6140268,33
300a7f9ca3a0,33
60d9c50,32
300a7fafa3b0,32
300a7fafa1b8,32
6738088,32
300a7faf8e08,32
300a7fafa560,31
6b5a588,31
300a7faf9798,31
73daa98,31
300a7faf89d0,31
7fffc163b070,31
300a7f9ca200,31
7fffc163bf60,31
300a7faf9b88,30
300a7f9834b0,30
c0000bed48,30
300a7f91f650,30
300a7fafa128,30
65439e8,30
300a7faf91f8,29
300a7faf99d8,29
300a7faf9288,29
300a7faf8b38,29
300a7faf9438,29
300a7f982af0,29
793cc4dff8f8,29
300a7fafa008,29
300a7f91f580,29
300a7fafa368,28
300a7faf9678,28
6325b78,28
662bd08,28
300a7f983580,28
300a7f91f240,28
669ba58,28
7734a68,27
300a7f91fda0,27
300a7faf9630,27
300a7f983990,27
57a1aa0,27
300a7f983650,27
300a7faf9bd0,27
300a7faf9318,26
583fffdfb2f8,26
60d43d8,26
73210b8,25
300a7faf8c10,25
300a7faf8ce8,25
579b700,25
300a7faf9168,25
300a7f982c90,25
300a7f91fc00,25
77567f79c9b4,24
300a7f91fa60,24
7cc0e08,24
300a7faf8dc0,24
300a776ecb98,23
6e836f8,23
300a7f91f0a0,23
300a7fafa0e0,23
300a7f982bc0,22
300a7fafa758,22
5f8f26fb7d60,22
300a7fafa170,22
73af228,21
300a7f982950,21
595f7501a7c8,21
79375c119934,21
615a128,21
300a7fafa830,20
73edab8,19
6103298,19
762dc38,19
70cab10,19
6121d88,19
7613cb8,19
300a7f91f4b0,19
300a7f9ca2d0,19
63c4463615b8,18
6df6ab0,18
7ffe1bdba5d4,18
75fb23534628,18
300a7f9837f0,18
595f749b1208,18
300a7bfa0190,18
5840011bb9e8,17
676fd08,17
624d2464d678,17
615cae8,17
6e3f8e0,17
77def48,17
579c1d8,16
7326980,16
736baa0,16
7ffd7d8ec960,16
761f7f90a914,16
595f744d5b90,16
757b19238128,15
667a828,15
761f7f4fe914,15
595f74a6a498,15
7ffd7d8ec920,15
61af5e8,15
73ebe58,15
7541409498f8,14
73e7bc8,14
5f8f26fb81a8,14
761f7efee914,14
c0000be948,14
7fffc163f120,14
761f7f601914,14
761f7e7d6914,14
7c62b48,14
7ffc767419d0,14
671c118,14
595f79bf7268,14
75fb23534688,14
6abbaa0,13
300a78aa1228,13
761f7e6d3914,13
583fffe51668,13
61ef64104730,13
79a57d8c6c80,13
761f7e8d9914,13
761f7dcb5914,13
7ddf3c41ac80,13
761f7e3ca914,13
73ebf78,13
6b07b88,13
583fff0ddaa0,13
761f7ece5914,13
7ed7eca54210,12
761f7f807914,12
7ffd7d8ed610,12
7075328,12
761f7ddb8914,12
761f7dbb2914,12
761f7e5d0914,12
5a2f628,12
761f7f3fb914,12
584004d727b8,12
761f7eadf914,12
6e362c0,12
75fb235342a0,12
588af61e2978,12
761f7ebe2914,12
583ffecab898,12
761f7debb914,12
595f740a0bc8,11
761f7e1c4914,11
6347378,11
583ffee45498,11
7ffc76741670,11
59d9b40,11
6121cb8,11
71627a8,11
73d1c78,11
595f79b512f8,11
761f7f704914,11
761f7f2f7914,11
677d0b8,11
7fffc163aff0,11
761f7daaf914,11
595f740a16c8,10
588af61e2a58,10
761f7e4cd914,10
7ffc76741a90,10
583ffecaa138,10
761f7e9dc914,10
595f7483b7f8,10
761f7dfbe914,10
7ffd7d8ec940,10
60dd8e0,10
7256718,10
7f6ce78,10
761f7f1f4914,10
6673318,10
757b19238110,10
761f7e0c1914,10
761f7f0f1914,10
721bdd8,10
595f740a1c48,10
c000901948,10
62bdfe0,9
761f7ede8914,9
595f740a1988,9
300a7f8ee388,9
86b668,9
6c06598,9
72218a8,9
6424ef8,9
855c808,9
6121b98,9
583ffecab5d8,8
595f744b5c1c,8
6b0baf8,8
7541435db8f8,8
583ffecab1b8,8
73c4d88,8
64ba698,8
761f7eeeb914,8
583ffecaa978,8
6e312d8,8
595f740a1828,8
595f740a0648,8
595f740a00c8,8
c000101548,8
7ffd7d8ec890,8
c0000c0948,8
595f740a1408,8
583fffe3a478,8
583ffecab738,8
7ffcdf13f490,8
73bdff8,8
6e85e78,8
7ffd7d8ec8a0,8
c000b00948,8
670f730,8
c00009c948,8
c000560948,8
761f7e2c7914,7
79e6ec000030,7
6e8dca8,7
583ffecac398,7
583ffecab478,7
583ffecac564,7
583ffeca9fd8,7
66c80f0,7
583ffecaa3f8,7
7224a88,7
583ffecabf78,7
57d2a348d678,7
595f740a1148,7
75fb234ecb84,7
7f91748,7
754144ab6fa8,7
7ffc76741f80,7
595f7409f888,7
7ffcfaed47f0,7
5c68a56ad148,7
7125168,7
75413dcbb8f8,7
6b3f830,7
c000100948,7
583ffecaa818,7
595f740a1ae8,7
6268aa0,7
6c63818,7
6bfbb58,6
c000a80948,6
595f740a0388,6
595f79b86788,6
719cc50,6
667c128,6
761f7fa0d914,6
61033f8,6
595f7409f728,6
7698e98,6
75413dab88f8,6
595f740a07a8,6
7fffc163a460,6
583ffecaa298,6
595f740a0908,6
67692d8,6
57d2a348d758,6
741c668,6
7e308a8,6
595f740a0d28,6
595f7409fca8,6
7ffc7673f200,6
c000900d48,6
583ffecaad98,6
c00009c548,6
c000561148,6
583ffecaaef8,6
595f7409f9e8,6
5e1f078,6
6f28df8,6
781ff68,6
7ffc76741ee0,6
595f7409f5c8,5
